barcode,code,YearWeek
TestProcessEligibleChannel2_4,AZMQ,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,7CL9,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,KNQG,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,7B3L,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,CZ9L,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,JD23,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,622D,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,7LD2,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,J8AR,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,XZ2B,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,MDWN,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,JCX6,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,FM76,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,VJFG,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,XREV,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,FAPF,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,F2KE,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,ZPJ8,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,KBN9,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,38MQ,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,QJ7R,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,N4H7,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,BDP6,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,QPKD,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,2TGH,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,JHK2,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,AJ9A,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,Q2EY,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,CAHZ,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,9HRH,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,AX69,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,7E64,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,ECRM,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,EDLD,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,JE3H,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,BGAC,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,7VP2,TestProcessEligibleChannel2_4
TestProcessEligibleChannel2_4,GHZQ,TestProcessEligibleChannel2_4
